"nodegoat ID";"Object ID";Name;"Source Object ID";"Source Value";Analysis;"Alternativer Name";GeoNames;WikidataID
ngGN2C08rHNSsIXSsGf83vNHdGgDwSNDtHK;11876520;Wehr;;;;;2813262;
ngDK4D38oEKP8FUVpDM16sKIaFXAtPKEqEH;11876643;Todtnau;;;;;6558145;
ngOV5A48zPlA4QFGaP529dVLlOILeAVBbPi;11876654;"Teillazarett St. Elisabethen Krankenhaus";;;;;6254970;
ngVC8t78gVsH2XMNhXE5hkCAsWPSlHCuiVp;11876687;Stuttgart;;;;;2825297;
ngHO2H18sHeT6JYHtIg95wOAeIhExTOIuHb;11876521;Stühlingen;;;;;11975188;
ngPW5B58aQmB8RGXbPY37eWomPpMfBWCcQj;11876655;Straßburg;;;;;6441375;
ngNU5V38yPUZyPEBzOG1xcUikOHKdZUWaPR;11876653;Stalingrad;;;;Volgograd;472757;
ngNU5V38yPUZyPEBzOG1xcUikOHKdZUWaPR;11876653;Stalingrad;;;;Wolgograd;472757;
ngEL1A88pFrQqGVyqFN6otLBbEYBuQLBrFo;11876518;Schweiz;;;;CH;2658434;
ngAH9u28lBnM6CRMmCT03pHPxBUXqMHvnBk;11876692;Schweinfurt;;;;;2834498;
ngXE1P18iZOJ3ZOTjXw9jmECuIRTiJEskYr;11919511;"Schulhaus Murg";;;;;;
ngCJ4C28nDzO6ETKoEL03rJDzDcZsOJDpDw;11876642;Säckingen;;;;"Bad Säckingen";11973618;
ngDK1Z78oFUP8FUZpD852sKEaEdAtPKAqFR;11876517;Rhina;;;;Laufenburg-Rhina;2847580;
ngTA8r58eUAFeVKBfUs39iAGqVNQjFAsgUX;11920285;"Rheinischer Hof, Murg";;;;"Rheinischer Hof";;
ngCJ4C28nDzO6ETsoEL0orJxzEWZsOJDpDw;11922442;"Restaurant Eckard, Murg";;;;"Restaurant Eckard";;
ngXE3B78iXuJ2ZOFjZQ5kmEsuZRUnJECkXr;11876637;"Reservelazarett Donaueschingen";;;;;;Q125676365
ngLS5X18wLSXxNCjxLE91aSQiLFIbXSYyLP;11876551;Paris;;;;;2968815;
ngBI4F18mCyNoDSXnBa96qIQyDVYrNIGoCv;11876641;Orscha;;;;;624079;
ngAH4E08lCRMkCRumBz8npHrxBaXqMHFnCO;11876640;Orekhovsk;;;;;;
ngFM1B98qGcRsHWFrG079uMacFZCvRMCsGz;11876519;Niederhof;;;;Murg-Niederhof;2863309;
ngPW0H38aPGBaRGXbRY13eWomQpMfBWIcPD;11876503;Murg;;;;"Murg Baden";6555918;
ngPW0H38aPGBaRGXbRY13eWomQpMfBWIcPD;11876503;Murg;;;;"Murg (Baden)";6555918;
ngPW0H38aPGBaRGXbRY13eWomQpMfBWIcPD;11876503;Murg;;;;"Murg am Rh.";6555918;
ngPW0H38aPGBaRGXbRY13eWomQpMfBWIcPD;11876503;Murg;;;;"Murg am Rhein";6555918;
ngPW0H38aPGBaRGXbRY13eWomQpMfBWIcPD;11876503;Murg;;;;"Murg am Hochrhein";6555918;
ngEL4E48pFVQ8GVSqFX2qtLzbEYBuQLFrFS;11876644;Münster;;;;;2867543;
